OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue,,,
SO - 0001294,03-05-2017,12-05-2017,1,Wholesale,NZD,AXW291,14,11,8,"5,058.50","2,782.18","40,468.00",,,
SO - 0001547,03-05-2017,17-05-2017,17,Export,USD,AXW291,90,7,5,"1,768.80","1,220.47","8,844.00",,,
SO - 0001847,03-05-2017,15-05-2017,46,Wholesale,NZD,AXW291,4,11,5,"1,038.50",716.57,"5,192.50",,,
SO - 0002221,03-05-2017,10-05-2017,7,Distributor,USD,AXW291,80,9,11,"1,058.60",857.47,"11,644.60",,,
SO - 0002262,03-05-2017,17-05-2017,35,Wholesale,EUR,AXW291,72,7,8,"1,132.30",702.03,"9,058.40",,,
SO - 0003014,03-05-2017,15-05-2017,27,Export,AUD,AXW291,25,1,8,"3,289.70","2,039.61","26,317.60",,,
SO - 0004953,03-05-2017,13-05-2017,27,Wholesale,NZD,AXW291,95,7,10,"1,145.70",458.28,"11,457.00",,,
SO - 0005144,03-05-2017,19-05-2017,4,Distributor,NZD,AXW291,47,13,11,964.80,685.01,"10,612.80",,,
SO - 0005206,03-05-2017,09-05-2017,43,Wholesale,EUR,AXW291,73,10,7,"5,038.40","2,418.43","35,268.80",,,
SO - 0006448,03-05-2017,09-05-2017,40,Wholesale,NZD,AXW291,40,8,9,"6,190.80","3,900.20","55,717.20",,,
SO - 000280,04-05-2017,21-05-2017,40,Wholesale,AUD,AXW291,24,7,9,"1,139.00",933.98,"10,251.00",,,
SO - 000470,04-05-2017,18-05-2017,6,Wholesale,AUD,AXW291,61,7,11,"2,613.00","1,332.63","28,743.00",,,
SO - 0002295,04-05-2017,13-05-2017,34,Wholesale,USD,AXW291,56,1,5,"2,331.60","1,468.91","11,658.00",,,
SO - 0003531,04-05-2017,15-05-2017,41,Wholesale,NZD,AXW291,47,5,11,"1,902.80","1,046.54","20,930.80",,,
SO - 0004443,04-05-2017,20-05-2017,44,Export,NZD,AXW291,65,1,6,"1,983.20","1,269.25","11,899.20",,,
SO - 0005365,04-05-2017,18-05-2017,19,Wholesale,NZD,AXW291,77,2,9,"1,051.90",557.51,"9,467.10",,,
SO - 000341,05-05-2017,17-05-2017,33,Export,AUD,AXW291,7,14,12,"2,231.10","1,093.24","26,773.20",,,
SO - 0002185,05-05-2017,16-05-2017,34,Wholesale,USD,AXW291,16,5,9,"1,165.80",920.98,"10,492.20",,,
SO - 0004014,05-05-2017,09-05-2017,3,Wholesale,NZD,AXW291,11,1,11,"1,112.20",500.49,"12,234.20",,,
SO - 0006493,05-05-2017,20-05-2017,28,Export,USD,AXW291,6,11,9,"1,031.80",753.21,"9,286.20",,,
SO - 0002601,06-05-2017,19-05-2017,9,Wholesale,NZD,AXW291,55,9,12,"6,137.20","3,375.46","73,646.40",,,
SO - 0004512,06-05-2017,13-05-2017,12,Wholesale,GBP,AXW291,96,7,5,"2,010.00",944.70,"10,050.00",,,
SO - 0007176,06-05-2017,16-05-2017,17,Export,USD,AXW291,23,1,7,"5,125.50","3,792.87","35,878.50",,,
SO - 000729,07-05-2017,12-05-2017,18,Distributor,USD,AXW291,35,12,9,254.60,201.13,"2,291.40",,,
SO - 0001651,07-05-2017,21-05-2017,44,Export,NZD,AXW291,90,2,7,"3,845.80","2,999.72","26,920.60",,,
SO - 0001928,07-05-2017,25-05-2017,39,Wholesale,USD,AXW291,49,5,9,"1,855.90","1,521.84","16,703.10",,,
SO - 0003108,07-05-2017,19-05-2017,5,Export,AUD,AXW291,24,2,6,"1,125.60",529.03,"6,753.60",,,
SO - 0005782,07-05-2017,20-05-2017,48,Export,GBP,AXW291,85,1,6,"1,132.30",611.44,"6,793.80",,,
SO - 0005836,07-05-2017,17-05-2017,35,Wholesale,NZD,AXW291,7,6,12,670.00,569.50,"8,040.00",,,
SO - 0006948,07-05-2017,19-05-2017,21,Wholesale,AUD,AXW291,14,7,11,"1,943.00","1,262.95","21,373.00",,,
SO - 000935,08-05-2017,19-05-2017,8,Distributor,NZD,AXW291,97,14,6,"2,546.00","1,120.24","15,276.00",,,
SO - 0001195,08-05-2017,12-05-2017,41,Wholesale,NZD,AXW291,84,13,6,"5,112.10","2,913.90","30,672.60",,,
SO - 0003217,08-05-2017,15-05-2017,12,Wholesale,USD,AXW291,83,2,9,234.50,93.80,"2,110.50",,,
SO - 0006989,08-05-2017,21-05-2017,6,Distributor,USD,AXW291,100,2,12,864.30,535.87,"10,371.60",,,
SO - 000340,09-05-2017,18-05-2017,46,Distributor,AUD,AXW291,24,5,7,"6,157.30","4,556.40","43,101.10",,,
SO - 0002027,09-05-2017,18-05-2017,33,Distributor,EUR,AXW291,67,7,8,"3,383.50","2,672.97","27,068.00",,,
SO - 0002114,09-05-2017,20-05-2017,12,Distributor,GBP,AXW291,63,2,9,"3,510.80","2,211.80","31,597.20",,,
SO - 0002501,09-05-2017,27-05-2017,4,Distributor,NZD,AXW291,98,7,10,844.20,574.06,"8,442.00",,,
SO - 0004417,09-05-2017,24-05-2017,7,Wholesale,USD,AXW291,43,9,12,"3,772.10","2,112.38","45,265.20",,,
SO - 0001313,10-05-2017,16-05-2017,20,Wholesale,USD,AXW291,6,9,9,180.90,85.02,"1,628.10",,,
SO - 0001366,10-05-2017,21-05-2017,29,Export,AUD,AXW291,88,13,8,"3,872.60","2,672.09","30,980.80",,,
SO - 0002883,10-05-2017,20-05-2017,3,Wholesale,NZD,AXW291,17,1,9,"2,599.60","1,221.81","23,396.40",,,
SO - 0002989,10-05-2017,22-05-2017,25,Wholesale,NZD,AXW291,25,1,6,951.40,418.62,"5,708.40",,,
SO - 0007895,10-05-2017,13-05-2017,12,Distributor,NZD,AXW291,61,7,5,"3,571.10","2,499.77","17,855.50",,,
SO - 000370,11-05-2017,27-05-2017,9,Distributor,NZD,AXW291,37,2,5,911.20,610.50,"4,556.00",,,
SO - 0003146,11-05-2017,24-05-2017,16,Distributor,EUR,AXW291,53,5,11,"5,983.10","3,111.21","65,814.10",,,
SO - 0003767,11-05-2017,22-05-2017,28,Wholesale,NZD,AXW291,92,1,8,"3,892.70","2,063.13","31,141.60",,,
SO - 0003975,11-05-2017,14-05-2017,31,Wholesale,NZD,AXW291,55,9,11,234.50,98.49,"2,579.50",,,
SO - 0005267,11-05-2017,22-05-2017,21,Wholesale,NZD,AXW291,96,7,6,"2,345.00","1,195.95","14,070.00",,,
SO - 0005312,11-05-2017,24-05-2017,36,Wholesale,EUR,AXW291,77,1,5,971.50,650.91,"4,857.50",,,
SO - 0005598,11-05-2017,23-05-2017,7,Wholesale,USD,AXW291,41,5,7,268.00,182.24,"1,876.00",,,
SO - 0005800,11-05-2017,18-05-2017,3,Wholesale,NZD,AXW291,76,11,9,"4,006.60","3,325.48","36,059.40",,,
SO - 0005975,11-05-2017,23-05-2017,5,Wholesale,NZD,AXW291,58,2,11,931.30,754.35,"10,244.30",,,
SO - 0006602,11-05-2017,16-05-2017,10,Wholesale,USD,AXW291,45,1,8,"1,855.90","1,410.48","14,847.20",,,
SO - 0007191,11-05-2017,19-05-2017,12,Distributor,NZD,AXW291,5,2,9,"1,078.70",722.73,"9,708.30",,,
SO - 0008010,11-05-2017,24-05-2017,36,Wholesale,USD,AXW291,4,10,5,"3,912.80","2,856.34","19,564.00",,,
SO - 0008035,11-05-2017,15-05-2017,41,Wholesale,USD,AXW291,37,8,8,221.10,159.19,"1,768.80",,,
SO - 0002557,12-05-2017,19-05-2017,4,Distributor,EUR,AXW291,42,10,8,"4,006.60","1,843.04","32,052.80",,,
SO - 0004763,12-05-2017,23-05-2017,44,Export,USD,AXW291,37,7,7,837.50,653.25,"5,862.50",,,
SO - 0005218,12-05-2017,27-05-2017,41,Wholesale,NZD,AXW291,64,1,10,"3,872.60","2,517.19","38,726.00",,,
SO - 0005548,12-05-2017,24-05-2017,7,Wholesale,NZD,AXW291,18,5,8,"3,819.00","2,635.11","30,552.00",,,
SO - 0006355,12-05-2017,28-05-2017,27,Wholesale,EUR,AXW291,44,4,9,"1,118.90",525.88,"10,070.10",,,
SO - 0006408,12-05-2017,26-05-2017,25,Export,NZD,AXW291,16,5,12,"2,532.60","2,000.75","30,391.20",,,
SO - 000413,13-05-2017,22-05-2017,16,Wholesale,NZD,AXW291,98,5,9,"1,889.40","1,398.16","17,004.60",,,
SO - 000990,13-05-2017,27-05-2017,34,Wholesale,NZD,AXW291,28,2,5,"1,065.30",649.83,"5,326.50",,,
SO - 0001826,13-05-2017,25-05-2017,33,Wholesale,EUR,AXW291,6,4,7,"2,458.90","1,524.52","17,212.30",,,
SO - 0001906,13-05-2017,30-05-2017,17,Wholesale,NZD,AXW291,81,10,11,"1,293.10","1,021.55","14,224.10",,,
SO - 0003892,13-05-2017,22-05-2017,17,Distributor,USD,AXW291,72,5,7,"1,916.20",804.80,"13,413.40",,,
SO - 0005819,13-05-2017,18-05-2017,23,Distributor,NZD,AXW291,26,1,10,"3,711.80","2,524.02","37,118.00",,,
SO - 0006991,13-05-2017,20-05-2017,11,Wholesale,GBP,AXW291,80,7,8,"1,132.30",894.52,"9,058.40",,,
SO - 0008066,13-05-2017,31-05-2017,6,Distributor,GBP,AXW291,88,13,10,"3,906.10","3,281.12","39,061.00",,,
SO - 0008069,13-05-2017,31-05-2017,16,Export,NZD,AXW291,99,7,8,"6,505.70","5,139.50","52,045.60",,,
SO - 0001766,14-05-2017,21-05-2017,28,Distributor,USD,AXW291,28,8,7,"1,005.00",824.10,"7,035.00",,,
SO - 0003040,14-05-2017,31-05-2017,48,Export,NZD,AXW291,47,7,11,"2,854.20","2,426.07","31,396.20",,,
SO - 0004035,14-05-2017,19-05-2017,11,Distributor,GBP,AXW291,92,5,6,"5,815.60","4,129.08","34,893.60",,,
SO - 0004289,14-05-2017,26-05-2017,43,Wholesale,USD,AXW291,93,10,8,"2,626.40","1,391.99","21,011.20",,,
SO - 0004819,14-05-2017,01-06-2017,13,Distributor,NZD,AXW291,51,1,11,"1,929.60","1,447.20","21,225.60",,,
SO - 0004948,14-05-2017,26-05-2017,13,Wholesale,NZD,AXW291,89,7,5,"3,953.00","2,648.51","19,765.00",,,
SO - 0006111,14-05-2017,27-05-2017,44,Export,EUR,AXW291,58,1,11,"2,211.00","1,216.05","24,321.00",,,
SO - 0007802,14-05-2017,01-06-2017,2,Distributor,NZD,AXW291,43,12,11,"1,963.10","1,668.64","21,594.10",,,
SO - 0003940,15-05-2017,21-05-2017,29,Wholesale,GBP,AXW291,82,2,11,"2,010.00","1,447.20","22,110.00",,,
SO - 0003984,15-05-2017,20-05-2017,23,Wholesale,USD,AXW291,73,6,11,"1,996.60","1,697.11","21,962.60",,,
SO - 0005592,15-05-2017,20-05-2017,27,Wholesale,NZD,AXW291,90,7,9,"1,098.80",922.99,"9,889.20",,,
SO - 0006596,15-05-2017,28-05-2017,41,Wholesale,AUD,AXW291,16,1,6,"2,445.50","1,980.86","14,673.00",,,
SO - 0007770,15-05-2017,01-06-2017,26,Wholesale,AUD,AXW291,78,1,12,"2,391.90",956.76,"28,702.80",,,
SO - 0001462,16-05-2017,21-05-2017,48,Distributor,NZD,AXW291,67,2,5,"5,038.40","2,720.74","25,192.00",,,
SO - 0002271,16-05-2017,31-05-2017,6,Export,AUD,AXW291,92,2,6,268.00,120.60,"1,608.00",,,
SO - 0002947,16-05-2017,03-06-2017,36,Wholesale,NZD,AXW291,84,13,8,"2,432.10",972.84,"19,456.80",,,
SO - 0004706,16-05-2017,03-06-2017,25,Wholesale,NZD,AXW291,78,1,6,"2,418.70","1,330.29","14,512.20",,,
SO - 0005648,16-05-2017,30-05-2017,15,Distributor,AUD,AXW291,78,1,6,"2,626.40","1,785.95","15,758.40",,,
SO - 0006143,16-05-2017,25-05-2017,2,Distributor,AUD,AXW291,48,5,6,"3,390.20","1,966.32","20,341.20",,,
SO - 0006732,16-05-2017,26-05-2017,46,Distributor,NZD,AXW291,74,7,7,201.00,164.82,"1,407.00",,,
SO - 0007151,16-05-2017,28-05-2017,50,Export,USD,AXW291,57,3,9,964.80,520.99,"8,683.20",,,
SO - 0001234,17-05-2017,28-05-2017,26,Wholesale,USD,AXW291,17,1,8,"4,006.60","2,283.76","32,052.80",,,
SO - 0002029,17-05-2017,22-05-2017,38,Wholesale,GBP,AXW291,32,11,5,"1,078.70",550.14,"5,393.50",,,
SO - 0002162,17-05-2017,21-05-2017,11,Wholesale,USD,AXW291,47,9,9,"1,179.20",837.23,"10,612.80",,,
SO - 0002340,17-05-2017,21-05-2017,16,Export,GBP,AXW291,90,2,5,"3,289.70","1,776.44","16,448.50",,,
SO - 0002486,17-05-2017,23-05-2017,5,Distributor,EUR,AXW291,87,5,7,"1,045.20",721.19,"7,316.40",,,
SO - 0002975,17-05-2017,28-05-2017,8,Wholesale,NZD,AXW291,39,7,7,"2,324.90","1,371.69","16,274.30",,,
SO - 0003846,17-05-2017,29-05-2017,7,Distributor,USD,AXW291,97,2,10,958.10,488.63,"9,581.00",,,
SO - 0004091,17-05-2017,30-05-2017,15,Wholesale,NZD,AXW291,51,13,10,180.90,86.83,"1,809.00",,,
SO - 0004535,17-05-2017,01-06-2017,5,Wholesale,NZD,AXW291,99,1,12,"2,606.30","1,798.35","31,275.60",,,
SO - 0004934,17-05-2017,02-06-2017,14,Export,AUD,AXW291,45,11,5,174.20,128.91,871.00,,,
SO - 0006374,17-05-2017,27-05-2017,38,Wholesale,NZD,AXW291,78,13,8,"1,125.60",855.46,"9,004.80",,,
SO - 0007114,17-05-2017,26-05-2017,2,Wholesale,USD,AXW291,31,13,6,194.30,157.38,"1,165.80",,,
SO - 000224,18-05-2017,23-05-2017,17,Wholesale,USD,AXW291,8,11,11,"6,298.00","4,534.56","69,278.00",,,
SO - 0002377,18-05-2017,04-06-2017,5,Export,NZD,AXW291,88,14,9,844.20,455.87,"7,597.80",,,
SO - 0003611,18-05-2017,25-05-2017,49,Distributor,AUD,AXW291,58,13,11,"1,226.10",674.36,"13,487.10",,,
SO - 0006224,18-05-2017,21-05-2017,49,Wholesale,NZD,AXW291,87,7,6,891.10,605.95,"5,346.60",,,
SO - 0006343,18-05-2017,31-05-2017,43,Distributor,AUD,AXW291,81,5,10,"1,869.30","1,271.12","18,693.00",,,
SO - 0006589,18-05-2017,26-05-2017,10,Wholesale,NZD,AXW291,77,2,8,"3,028.40","1,423.35","24,227.20",,,
SO - 0007842,18-05-2017,26-05-2017,23,Wholesale,USD,AXW291,93,11,9,"1,072.00",825.44,"9,648.00",,,
SO - 0002184,19-05-2017,30-05-2017,17,Export,GBP,AXW291,6,2,9,"1,125.60",866.71,"10,130.40",,,
SO - 0003428,19-05-2017,28-05-2017,27,Distributor,EUR,AXW291,83,1,7,"4,020.00","2,251.20","28,140.00",,,
SO - 0005121,19-05-2017,23-05-2017,28,Wholesale,NZD,AXW291,23,2,6,"5,681.60","4,090.75","34,089.60",,,
SO - 0005532,19-05-2017,28-05-2017,1,Wholesale,AUD,AXW291,28,13,11,"3,256.20","2,767.77","35,818.20",,,
SO - 0006835,19-05-2017,30-05-2017,34,Export,GBP,AXW291,6,2,9,"3,973.10","2,661.98","35,757.90",,,
SO - 0007093,19-05-2017,25-05-2017,40,Wholesale,NZD,AXW291,91,10,12,241.20,120.60,"2,894.40",,,
SO - 000856,20-05-2017,06-06-2017,30,Wholesale,USD,AXW291,99,13,10,"5,855.80","4,567.52","58,558.00",,,
SO - 0001129,20-05-2017,01-06-2017,21,Distributor,NZD,AXW291,27,9,5,"5,112.10","3,271.74","25,560.50",,,
SO - 0002613,20-05-2017,04-06-2017,20,Distributor,AUD,AXW291,54,5,8,"2,566.10","1,385.69","20,528.80",,,
SO - 0002851,20-05-2017,27-05-2017,37,Export,NZD,AXW291,35,7,7,"2,485.70","1,466.56","17,399.90",,,
SO - 0004282,20-05-2017,31-05-2017,11,Wholesale,NZD,AXW291,22,1,11,"2,284.70","1,942.00","25,131.70",,,
SO - 0004467,20-05-2017,28-05-2017,33,Wholesale,NZD,AXW291,21,1,8,"5,185.80","3,111.48","41,486.40",,,
SO - 0006062,20-05-2017,05-06-2017,34,Export,AUD,AXW291,13,11,12,"3,939.60","2,087.99","47,275.20",,,
SO - 0006587,20-05-2017,31-05-2017,10,Distributor,USD,AXW291,61,11,12,194.30,110.75,"2,331.60",,,
SO - 0007793,20-05-2017,27-05-2017,27,Export,NZD,AXW291,59,1,6,"1,822.40","1,184.56","10,934.40",,,
SO - 000288,21-05-2017,01-06-2017,19,Distributor,AUD,AXW291,86,9,12,"1,118.90",749.66,"13,426.80",,,
SO - 0002098,21-05-2017,24-05-2017,38,Distributor,GBP,AXW291,9,1,8,"5,038.40","3,526.88","40,307.20",,,
SO - 0002952,21-05-2017,03-06-2017,37,Distributor,AUD,AXW291,21,7,6,"1,025.10",430.54,"6,150.60",,,
SO - 0003919,21-05-2017,03-06-2017,25,Wholesale,USD,AXW291,64,2,8,"2,807.30","2,049.33","22,458.40",,,
SO - 0004230,21-05-2017,28-05-2017,32,Export,NZD,AXW291,47,2,12,"1,889.40",888.02,"22,672.80",,,
SO - 0006909,21-05-2017,04-06-2017,31,Wholesale,AUD,AXW291,29,1,9,167.50,112.23,"1,507.50",,,
SO - 0001723,22-05-2017,04-06-2017,12,Wholesale,GBP,AXW291,84,2,11,"6,398.50","3,647.15","70,383.50",,,
SO - 0005083,22-05-2017,28-05-2017,42,Export,NZD,AXW291,31,7,6,"2,412.00","1,736.64","14,472.00",,,
SO - 0006247,22-05-2017,09-06-2017,30,Distributor,NZD,AXW291,98,13,7,"1,675.00","1,323.25","11,725.00",,,
SO - 0007010,22-05-2017,30-05-2017,30,Wholesale,USD,AXW291,40,2,7,"1,031.80",577.81,"7,222.60",,,
SO - 0007254,22-05-2017,27-05-2017,13,Export,USD,AXW291,80,13,9,"1,273.00",814.72,"11,457.00",,,
SO - 0007889,22-05-2017,29-05-2017,47,Wholesale,NZD,AXW291,81,5,9,"5,051.80","3,081.60","45,466.20",,,
SO - 0003063,23-05-2017,31-05-2017,28,Distributor,NZD,AXW291,61,5,5,"1,936.30","1,123.05","9,681.50",,,
SO - 0003304,23-05-2017,28-05-2017,37,Wholesale,NZD,AXW291,36,12,12,"1,051.90",778.41,"12,622.80",,,
SO - 0004915,23-05-2017,29-05-2017,1,Distributor,NZD,AXW291,59,1,10,"3,932.90","3,185.65","39,329.00",,,
SO - 0005216,23-05-2017,08-06-2017,10,Wholesale,EUR,AXW291,67,1,6,951.40,589.87,"5,708.40",,,
SO - 0006028,23-05-2017,26-05-2017,40,Export,NZD,AXW291,59,2,12,"3,926.20","1,845.31","47,114.40",,,
SO - 000920,24-05-2017,01-06-2017,35,Distributor,NZD,AXW291,6,2,9,"3,524.20","2,960.33","31,717.80",,,
SO - 0001034,24-05-2017,27-05-2017,22,Export,NZD,AXW291,85,1,5,"3,839.10","2,610.59","19,195.50",,,
SO - 0003363,24-05-2017,03-06-2017,12,Export,USD,AXW291,6,4,6,864.30,509.94,"5,185.80",,,
SO - 0004949,24-05-2017,05-06-2017,45,Distributor,NZD,AXW291,16,13,12,"2,512.50","1,105.50","30,150.00",,,
SO - 0005561,24-05-2017,02-06-2017,12,Distributor,NZD,AXW291,32,11,10,"3,618.00","2,930.58","36,180.00",,,
SO - 0001005,25-05-2017,06-06-2017,21,Wholesale,NZD,AXW291,44,13,12,"3,832.40","2,682.68","45,988.80",,,
SO - 0002414,25-05-2017,11-06-2017,46,Distributor,USD,AXW291,43,5,10,"1,045.20",553.96,"10,452.00",,,
SO - 0003859,25-05-2017,08-06-2017,50,Distributor,NZD,AXW291,86,1,7,227.80,120.73,"1,594.60",,,
SO - 0004028,25-05-2017,09-06-2017,33,Wholesale,USD,AXW291,6,7,8,864.30,717.37,"6,914.40",,,
SO - 0004830,25-05-2017,01-06-2017,25,Wholesale,AUD,AXW291,90,7,7,"1,782.20","1,122.79","12,475.40",,,
SO - 0004933,25-05-2017,02-06-2017,10,Wholesale,NZD,AXW291,24,11,11,857.60,420.22,"9,433.60",,,
SO - 0005125,25-05-2017,28-05-2017,14,Wholesale,NZD,AXW291,6,1,5,174.20,146.33,871.00,,,
SO - 000756,26-05-2017,11-06-2017,11,Wholesale,USD,AXW291,79,7,12,"3,108.80","1,896.37","37,305.60",,,
SO - 0002964,26-05-2017,05-06-2017,6,Distributor,USD,AXW291,4,9,11,"1,165.80",920.98,"12,823.80",,,
SO - 0004651,26-05-2017,05-06-2017,13,Wholesale,AUD,AXW291,14,13,12,884.40,389.14,"10,612.80",,,
SO - 0007687,26-05-2017,03-06-2017,33,Wholesale,GBP,AXW291,67,2,12,"1,025.10",656.06,"12,301.20",,,
SO - 0001163,27-05-2017,05-06-2017,2,Distributor,NZD,AXW291,27,1,8,917.90,431.41,"7,343.20",,,
SO - 0001882,27-05-2017,07-06-2017,18,Wholesale,NZD,AXW291,85,7,12,"1,038.50",768.49,"12,462.00",,,
SO - 0003896,27-05-2017,01-06-2017,39,Wholesale,NZD,AXW291,22,7,8,"3,725.20","2,644.89","29,801.60",,,
SO - 0006497,27-05-2017,04-06-2017,34,Wholesale,USD,AXW291,23,4,11,"1,842.50",810.70,"20,267.50",,,
SO - 0006682,27-05-2017,02-06-2017,7,Wholesale,GBP,AXW291,51,1,12,"3,664.90","2,198.94","43,978.80",,,
SO - 0007234,27-05-2017,05-06-2017,15,Export,NZD,AXW291,62,1,10,"3,825.70","1,759.82","38,257.00",,,
SO - 0001641,28-05-2017,31-05-2017,49,Export,GBP,AXW291,61,13,6,"1,038.50",685.41,"6,231.00",,,
SO - 0001721,28-05-2017,09-06-2017,39,Wholesale,AUD,AXW291,11,13,11,"5,621.30","4,272.19","61,834.30",,,
SO - 0002939,28-05-2017,10-06-2017,7,Export,GBP,AXW291,95,13,5,"1,045.20",606.22,"5,226.00",,,
SO - 0003730,28-05-2017,12-06-2017,33,Wholesale,NZD,AXW291,39,11,10,254.60,201.13,"2,546.00",,,
SO - 0005140,28-05-2017,31-05-2017,6,Distributor,NZD,AXW291,35,7,9,"1,125.60",506.52,"10,130.40",,,
SO - 0006540,28-05-2017,04-06-2017,18,Wholesale,AUD,AXW291,4,9,10,"1,058.60",624.57,"10,586.00",,,
SO - 0007371,28-05-2017,11-06-2017,49,Distributor,NZD,AXW291,90,12,7,"1,326.60",703.10,"9,286.20",,,
SO - 000786,29-05-2017,05-06-2017,31,Wholesale,NZD,AXW291,50,2,11,"3,008.30","2,406.64","33,091.30",,,
SO - 0002180,29-05-2017,01-06-2017,42,Export,NZD,AXW291,41,1,5,"1,018.40",824.90,"5,092.00",,,
SO - 0004876,29-05-2017,14-06-2017,41,Wholesale,NZD,AXW291,94,11,5,"1,098.80",890.03,"5,494.00",,,
SO - 0005010,29-05-2017,14-06-2017,42,Wholesale,USD,AXW291,26,1,8,"6,157.30","3,509.66","49,258.40",,,
SO - 0005157,29-05-2017,14-06-2017,2,Wholesale,EUR,AXW291,56,1,9,"3,812.30","1,601.17","34,310.70",,,
SO - 0006352,29-05-2017,02-06-2017,11,Wholesale,EUR,AXW291,5,5,5,"1,976.50","1,600.97","9,882.50",,,
SO - 000386,30-05-2017,14-06-2017,44,Wholesale,GBP,AXW291,82,1,6,"1,025.10",779.08,"6,150.60",,,
SO - 000968,30-05-2017,07-06-2017,24,Export,USD,AXW291,47,7,5,"3,926.20","1,923.84","19,631.00",,,
SO - 0003673,30-05-2017,15-06-2017,36,Wholesale,USD,AXW291,55,5,12,"2,659.90","1,542.74","31,918.80",,,
SO - 0005809,30-05-2017,02-06-2017,22,Distributor,AUD,AXW291,38,1,9,227.80,184.52,"2,050.20",,,
SO - 0006487,30-05-2017,10-06-2017,17,Export,USD,AXW291,15,4,10,247.90,188.40,"2,479.00",,,
SO - 0006527,30-05-2017,11-06-2017,49,Export,USD,AXW291,74,5,6,924.60,545.51,"5,547.60",,,
SO - 0007079,30-05-2017,11-06-2017,33,Wholesale,GBP,AXW291,23,13,11,"2,847.50","2,363.43","31,322.50",,,
SO - 000711,31-05-2017,07-06-2017,42,Wholesale,EUR,AXW291,22,7,5,"2,519.20","1,309.98","12,596.00",,,
SO - 0002879,31-05-2017,08-06-2017,32,Export,GBP,AXW291,33,11,7,"3,102.10","2,078.41","21,714.70",,,
SO - 0003772,31-05-2017,05-06-2017,20,Wholesale,GBP,AXW291,43,12,10,"1,989.90","1,452.63","19,899.00",,,
SO - 0004172,31-05-2017,05-06-2017,49,Wholesale,USD,AXW291,75,1,10,"1,125.60",675.36,"11,256.00",,,
SO - 0005980,31-05-2017,14-06-2017,24,Wholesale,USD,AXW291,12,7,5,998.30,808.62,"4,991.50",,,
SO - 0003009,01-06-2017,11-06-2017,50,Wholesale,NZD,AXW291,44,1,8,"2,485.70","1,019.14","19,885.60",,,
SO - 0004694,01-06-2017,14-06-2017,40,Wholesale,NZD,AXW291,83,7,12,"1,728.60","1,279.16","20,743.20",,,
SO - 0005947,01-06-2017,13-06-2017,34,Wholesale,GBP,AXW291,58,11,12,"3,463.90","2,909.68","41,566.80",,,
SO - 0006246,01-06-2017,15-06-2017,4,Wholesale,NZD,AXW291,77,11,11,"1,246.20",510.94,"13,708.20",,,
SO - 0006275,01-06-2017,16-06-2017,3,Wholesale,USD,AXW291,30,1,9,"3,805.60","1,598.35","34,250.40",,,
SO - 0008033,01-06-2017,12-06-2017,18,Wholesale,USD,AXW291,8,5,7,"1,869.30","1,495.44","13,085.10",,,
SO - 0001395,02-06-2017,05-06-2017,34,Wholesale,USD,AXW291,63,7,7,"5,695.00","2,334.95","39,865.00",,,
SO - 0003841,02-06-2017,17-06-2017,46,Export,NZD,AXW291,51,11,5,904.50,479.39,"4,522.50",,,
SO - 0006277,02-06-2017,20-06-2017,8,Distributor,NZD,AXW291,69,8,7,"1,118.90",749.66,"7,832.30",,,
SO - 0007514,02-06-2017,17-06-2017,5,Wholesale,AUD,AXW291,36,7,6,"2,519.20","1,914.59","15,115.20",,,
SO - 0003455,03-06-2017,18-06-2017,24,Wholesale,USD,AXW291,64,5,12,"2,512.50","1,130.63","30,150.00",,,
SO - 0004316,03-06-2017,11-06-2017,19,Distributor,USD,AXW291,17,7,5,"1,795.60",879.84,"8,978.00",,,
SO - 0007720,03-06-2017,21-06-2017,7,Distributor,GBP,AXW291,91,7,11,214.40,115.78,"2,358.40",,,
SO - 0002526,04-06-2017,19-06-2017,17,Wholesale,EUR,AXW291,37,6,5,"1,118.90",850.36,"5,594.50",,,
SO - 0003025,04-06-2017,21-06-2017,31,Export,AUD,AXW291,82,13,9,"1,098.80",461.50,"9,889.20",,,
SO - 0003502,04-06-2017,16-06-2017,47,Export,USD,AXW291,17,2,6,268.00,134.00,"1,608.00",,,
SO - 0005576,04-06-2017,16-06-2017,15,Wholesale,USD,AXW291,50,1,11,"3,892.70","2,102.06","42,819.70",,,
SO - 0005761,04-06-2017,12-06-2017,34,Wholesale,NZD,AXW291,4,7,7,"1,078.70",862.96,"7,550.90",,,
SO - 0007317,04-06-2017,13-06-2017,18,Export,NZD,AXW291,75,6,7,"1,118.90",525.88,"7,832.30",,,
SO - 000965,05-06-2017,13-06-2017,12,Distributor,GBP,AXW291,85,11,5,"1,085.40",640.39,"5,427.00",,,
SO - 0004016,05-06-2017,12-06-2017,13,Distributor,NZD,AXW291,30,2,9,"3,899.40","3,080.53","35,094.60",,,
SO - 0006612,05-06-2017,11-06-2017,18,Wholesale,NZD,AXW291,43,12,5,"3,946.30","1,933.69","19,731.50",,,
SO - 000529,06-06-2017,12-06-2017,21,Export,USD,AXW291,52,10,10,"3,966.40","2,776.48","39,664.00",,,
SO - 000964,06-06-2017,20-06-2017,20,Wholesale,NZD,AXW291,1,7,10,268.00,123.28,"2,680.00",,,
